iteration,level_names,strategy_name,n_ants,best_prompt,best_fitness,worst_prompt,worst_fitness,best_faith,best_relevance,best_rogue
0,TaskInstruction Input,Basic ACO,4,Summarize this text. The passage below: {INPUT},0.421,Produce a concise summary of the content. The following passage: {INPUT},0.343,0.402 ± 0.238,0.669 ± 0.103,0.289 ± 0.105
1,TaskInstruction Input,Basic ACO,4,Summarize this text. The following document: {INPUT},0.429,Summarize this text. The passage below: {INPUT},0.403,0.395 ± 0.245,0.681 ± 0.084,0.319 ± 0.091
2,TaskInstruction Input,Basic ACO,4,Summarize the input text. The content below: {INPUT},0.432,Reduce the following text to a summary. The input text: {INPUT},0.352,0.384 ± 0.213,0.681 ± 0.107,0.346 ± 0.121
3,TaskInstruction Input,Basic ACO,4,Produce a concise summary of the content. The passage below: {INPUT},0.434,Generate a brief overview of the following text. The provided text: {INPUT},0.367,0.407 ± 0.220,0.663 ± 0.139,0.325 ± 0.157
0,TaskInstruction Input,EAS,4,Summarize this text. The passage below: {INPUT},0.434,Produce a concise summary of the content. The following passage: {INPUT},0.340,0.392 ± 0.239,0.683 ± 0.118,0.338 ± 0.115
1,TaskInstruction Input,EAS,4,Summarize this text. The passage below: {INPUT},0.428,Generate a brief overview of the following text. The provided text: {INPUT},0.364,0.402 ± 0.225,0.659 ± 0.119,0.318 ± 0.106
2,TaskInstruction Input,EAS,4,Generate a concise summary of the given text. The text provided below: {INPUT},0.434,Generate a brief overview of the following text. The following passage: {INPUT},0.325,0.408 ± 0.238,0.681 ± 0.092,0.311 ± 0.100
3,TaskInstruction Input,EAS,4,Summarize this text. The passage below: {INPUT},0.426,Reduce the following text to a summary. The document below is: {INPUT},0.408,0.389 ± 0.223,0.662 ± 0.139,0.331 ± 0.099
0,TaskInstruction Input,Rank,4,Summarize this text. The passage below: {INPUT},0.427,Produce a concise summary of the content. The following passage: {INPUT},0.330,0.406 ± 0.239,0.667 ± 0.107,0.303 ± 0.115
1,TaskInstruction Input,Rank,4,Summarize this text. The passage below: {INPUT},0.438,Reduce the following text to a summary. The document below is: {INPUT},0.404,0.400 ± 0.222,0.706 ± 0.098,0.324 ± 0.091
2,TaskInstruction Input,Rank,4,Generate a concise summary of the given text. The text provided below: {INPUT},0.428,Summarize the input text. The document provided: {INPUT},0.416,0.397 ± 0.235,0.693 ± 0.116,0.302 ± 0.126
3,TaskInstruction Input,Rank,4,Summarize this text. The passage below: {INPUT},0.420,Reduce the following text to a summary. The document below is: {INPUT},0.404,0.366 ± 0.217,0.704 ± 0.099,0.320 ± 0.116
0,TaskInstruction Input,MMAS,4,Summarize this text. The passage below: {INPUT},0.429,Produce a concise summary of the content. The following passage: {INPUT},0.336,0.396 ± 0.229,0.691 ± 0.118,0.311 ± 0.106
1,TaskInstruction Input,MMAS,4,Summarize this text. The text provided below: {INPUT},0.444,Create a brief summary of the following document. The following content: {INPUT},0.419,0.392 ± 0.231,0.716 ± 0.091,0.349 ± 0.139
2,TaskInstruction Input,MMAS,4,Reduce the following text to a summary. The content is: {INPUT},0.435,Summarize the input text. The document provided: {INPUT},0.410,0.383 ± 0.234,0.706 ± 0.103,0.342 ± 0.148
3,TaskInstruction Input,MMAS,4,Produce a concise summary of the content. The content is: {INPUT},0.431,Reduce the following text to a summary. The content is: {INPUT},0.408,0.394 ± 0.230,0.688 ± 0.072,0.321 ± 0.095
0,TaskInstruction Input,BWAS,4,Summarize this text. The passage below: {INPUT},0.420,Produce a concise summary of the content. The following passage: {INPUT},0.326,0.378 ± 0.221,0.684 ± 0.101,0.315 ± 0.097
1,TaskInstruction Input,BWAS,4,Summarize this text. The text provided below: {INPUT},0.422,Summarize this text. The document below: {INPUT},0.414,0.379 ± 0.229,0.688 ± 0.100,0.318 ± 0.110
2,TaskInstruction Input,BWAS,4,Reduce the following text to a summary. The content is: {INPUT},0.425,Reduce the following text to a summary. The content is: {INPUT},0.406,0.393 ± 0.233,0.679 ± 0.123,0.309 ± 0.147
3,TaskInstruction Input,BWAS,4,Provide a summary of the text below. The content is: {INPUT},0.426,Write a summary of the content below. The following document: {INPUT},0.409,0.396 ± 0.226,0.674 ± 0.104,0.312 ± 0.088
0,RoleInstruction TaskInstruction Input,Basic ACO,4,Assume you are a professional in textual synthesis. Reduce the following text to a summary. The document below is: {INPUT},0.402,Act as an expert in extracting key points from texts. Produce a short summary of the provided text. the text: {INPUT},0.354,0.354 ± 0.218,0.673 ± 0.083,0.302 ± 0.110
1,RoleInstruction TaskInstruction Input,Basic ACO,4,Respond as a specialist in summarizing long-form content. Generate a concise summary of the given text. The provided text: {INPUT},0.361,Respond as an authority in summarizing written material. Reduce the following text to a summary. The following passage: {INPUT},0.330,0.326 ± 0.259,0.599 ± 0.223,0.261 ± 0.150
2,RoleInstruction TaskInstruction Input,Basic ACO,4,Respond as a specialist in summarizing long-form content. Generate a concise summary of the given text. The input text below: {INPUT},0.430,Act as an expert in extracting key points from texts. Summarize this text. The following text: {INPUT},0.356,0.397 ± 0.249,0.673 ± 0.113,0.321 ± 0.103
3,RoleInstruction TaskInstruction Input,Basic ACO,4,Assume the perspective of a professional text summarizer. Produce a short summary of the provided text. the text: {INPUT},0.441,Act as an expert in extracting key points from texts. Summarize this text. The following passage: {INPUT},0.319,0.403 ± 0.231,0.694 ± 0.122,0.334 ± 0.100
0,RoleInstruction TaskInstruction Input,EAS,4,Assume you are a professional in textual synthesis. Reduce the following text to a summary. The document below is: {INPUT},0.422,Respond as a specialist in summarizing long-form content. Generate a concise summary of the given text. The provided text: {INPUT},0.353,0.396 ± 0.238,0.657 ± 0.097,0.311 ± 0.135
1,RoleInstruction TaskInstruction Input,EAS,4,Respond as an authority in summarizing written material. Reduce the following text to a summary. The following content: {INPUT},0.428,Respond as a specialist in summarizing long-form content. Generate a concise summary of the given text. The provided text: {INPUT},0.339,0.402 ± 0.244,0.677 ± 0.114,0.307 ± 0.142
2,RoleInstruction TaskInstruction Input,EAS,4,Perform as a specialist in reducing texts to their essentials. Condense the text below into a summary. The following content: {INPUT},0.423,Act as a specialist in summarizing written content. Produce a concise summary of the content. The provided text: {INPUT},0.351,0.382 ± 0.239,0.682 ± 0.097,0.318 ± 0.093
3,RoleInstruction TaskInstruction Input,EAS,4,Assume you are a professional in textual synthesis. Provide a summary of the text below. The input text: {INPUT},0.364,Act as an expert in extracting key points from texts. Summarize this text. The following passage: {INPUT},0.329,0.340 ± 0.259,0.591 ± 0.218,0.255 ± 0.134
0,RoleInstruction TaskInstruction Input,Rank,4,Assume you are a professional in textual synthesis. Reduce the following text to a summary. The document below is: {INPUT},0.412,Act as an expert in extracting key points from texts. Produce a short summary of the provided text. the text: {INPUT},0.352,0.368 ± 0.243,0.671 ± 0.149,0.315 ± 0.146
