RoleInstruction,TaskInstruction,FidelityConstraint,SalienceGuidance,StyleConstraint,LengthConstraint,Input,OutputFormat
"Pretend you are an expert that summarize texts.","Summarize the following text.","Do not add new information.","Focus on the main ideas.","Use clear and neutral language.","Keep the summary brief.","The following text:","Write the summary as a single paragraph."
"Act as a specialist in summarizing written content.","Provide a summary of the text below.","Avoid introducing details not present in the text.","Emphasize the key points.","Maintain a neutral and objective tone.","Limit the length of the summary.","The text below:","Present the summary in one paragraph."
"Assume the role of an expert in text summarization.","Generate a concise summary of the given text.","Preserve the original meaning.","Highlight the most important information.","Use formal and clear language.","Keep it short and to the point.","The provided text:","Output a concise paragraph."
"Behave like a professional at condensing texts.","Write a summary of the content below.","Remain faithful to the source content.","Focus on the central ideas.","Use straightforward and neutral wording.","Use a compact format.","The content below:","Produce a single coherent paragraph."
"Imagine you are a skilled expert in summarizing documents.","Create a brief summary of the following document.","Do not include information not stated in the text.","Capture the core concepts.","Maintain an objective writing style.","Keep the summary concise.","The following document:","Return a one-paragraph summary."
"Take on the role of a text summarization expert.","Condense the text below into a summary.","Ensure factual consistency with the original text.","Prioritize the main points.","Use a neutral explanatory style.","Restrict the summary length.","The document below:","Write the result in paragraph form."
"Operate as a professional specialized in text summaries.","Produce a short summary of the provided text.","Use only information from the text.","Focus on the most relevant ideas.","Use simple and neutral phrasing.","Aim for brevity.","The text provided below:","Provide a short paragraph."
"Respond as an authority in summarizing written material.","Summarize the content provided below.","Avoid speculation or interpretation.","Emphasize the primary themes.","Maintain a clear and neutral tone.","Keep the output short.","The content provided:","Output the summary as one paragraph."
"Think and act like an expert in content summarization.","Write a concise overview of the text.","Do not infer unstated facts.","Highlight the key concepts.","Use neutral and precise language.","Keep it within a few sentences.","The following passage:","Present the summary in a single paragraph."
"Work as a consultant experienced in summarizing texts.","Generate a brief overview of the following text.","Stay strictly grounded in the text.","Focus on the essential information.","Use an objective narrative style.","Ensure conciseness.","The passage below:","Write a concise paragraph summary."
"Act as an expert in extracting key points from texts.","Summarize the text that follows.","Do not alter the original intent.","Capture the most important points.","Use a neutral informative style.","Keep the summary short.","The text that follows:","Return a brief paragraph."
"Assume the perspective of a professional text summarizer.","Provide a concise overview of the document.","Avoid adding external knowledge.","Focus on the core message.","Use formal neutral language.","Limit the summary size.","The document provided:","Write the summary in paragraph form."
"Perform as a specialist in reducing texts to their essentials.","Create a summary of the text below.","Ensure the meaning remains unchanged.","Emphasize the central themes.","Maintain a neutral descriptive tone.","Keep the summary compact.","The text below is:","Produce a compact paragraph."
"Behave like an expert in creating clear and concise summaries.","Reduce the following text to a summary.","Do not modify the factual content.","Highlight the main arguments.","Use clear and objective wording.","Use a minimal number of sentences.","The following text is:","Output a short paragraph."
"Take the role of a professional focused on text condensation.","Summarize the document below.","Preserve factual accuracy.","Focus on the most significant points.","Use neutral academic language.","Keep it concise.","The document below is:","Provide a single-paragraph summary."
"Act as an analyst skilled in summarizing complex texts.","Write a short summary of the text.","Avoid reinterpretation.","Capture the essential ideas.","Use a clear neutral style.","Aim for a brief summary.","The text is:","Present the output as one paragraph."
"Respond as a specialist in summarizing long-form content.","Produce a concise summary of the content.","Remain consistent with the source.","Focus on the key information.","Maintain a professional tone.","Ensure brevity.","The content is:","Write a brief paragraph."
"Operate like an expert in transforming texts into summaries.","Generate a summary for the text below.","Do not introduce new concepts.","Highlight the primary information.","Use neutral and formal language.","Keep the response short.","The following content:","Return the summary as one paragraph."
"Assume you are a professional in textual synthesis.","Create a concise textual summary.","Keep all information faithful to the text.","Focus on the overall message.","Use clear neutral phrasing.","Limit the output length.","The input text:","Output a single coherent paragraph."
"Act as an expert at summarizing written information.","Summarize the input text.","Do not deviate from the source meaning.","Emphasize the main content.","Use neutral and plain language.","Keep the summary brief.","The input text below:","Write the summary in one paragraph."
